type	id	class	label	lat	lon
poly	poly1141	poly		55.8004462487033	-4.62318246993842
poly	poly1141	poly		55.80037210107883	-4.623253845656865
poly	poly1141	poly		55.80034737257375	-4.623178424902963
poly	poly1141	poly		55.80041835112051	-4.62310885135504
poly	poly1141	poly		55.8004462487033	-4.62318246993842
poly	poly1156	poly		55.79942003709261	-4.624140785401094
poly	poly1156	poly		55.79948023588625	-4.62410841591808
poly	poly1156	poly		55.79952383322796	-4.624345233847357
poly	poly1156	poly		55.79946154330522	-4.624375685080192
poly	poly1156	poly		55.79942003709261	-4.624140785401094
poly	poly1171	poly		55.79825509664076	-4.62545998398017
poly	poly1171	poly		55.7983024082553	-4.625455419080401
poly	poly1171	poly		55.79830660860235	-4.625531212291039
poly	poly1171	poly		55.79826007509254	-4.625537196099147
poly	poly1171	poly		55.79825509664076	-4.62545998398017
poly	poly1186	poly		55.79752238869116	-4.624461584178277
poly	poly1186	poly		55.79745034236732	-4.62497987779614
poly	poly1186	poly		55.79739288105479	-4.62496315114006
poly	poly1186	poly		55.7974671669702	-4.624435244583731
poly	poly1186	poly		55.79752238869116	-4.624461584178277
poly	poly1201	poly		55.79687405413338	-4.625148051186963
poly	poly1201	poly		55.79693683693717	-4.625085976413982
poly	poly1201	poly		55.79697663810309	-4.624999682362278
poly	poly1201	poly		55.79701475068721	-4.624746130253758
poly	poly1201	poly		55.79706258200676	-4.624308566406193
poly	poly1201	poly		55.79701413450326	-4.624247792291433
poly	poly1201	poly		55.79702966308378	-4.62419806939722
poly	poly1201	poly		55.79712034682051	-4.624318512573174
poly	poly1201	poly		55.79705288825105	-4.624886296266495
poly	poly1201	poly		55.79702234466538	-4.625043905391686
poly	poly1201	poly		55.79696752931513	-4.625167277289294
poly	poly1201	poly		55.79689161041607	-4.625248545810337
poly	poly1201	poly		55.79687405413338	-4.625148051186963
poly	poly1216	poly		55.7965317788745	-4.624767632544147
poly	poly1216	poly		55.79655011188396	-4.624732878007198
poly	poly1216	poly		55.79652525702592	-4.624677122339725
poly	poly1216	poly		55.79655004450766	-4.624638830511457
poly	poly1216	poly		55.79657809237573	-4.624696850747602
poly	poly1216	poly		55.79658591996988	-4.624687567938591
poly	poly1216	poly		55.79687291953559	-4.625306069291975
poly	poly1216	poly		55.796818778027	-4.625386133832282
poly	poly1216	poly		55.7965317788745	-4.624767632544147
poly	poly1231	poly		55.79943585132613	-4.623684221094503
poly	poly1231	poly		55.79945412401725	-4.623680803309497
poly	poly1231	poly		55.79944820156867	-4.623606191788657
poly	poly1231	poly		55.79984835887105	-4.623487033905816
poly	poly1231	poly		55.79985406924871	-4.623592198236629
poly	poly1231	poly		55.7995163092662	-4.623691719516736
poly	poly1231	poly		55.79951836301147	-4.623705133133943
poly	poly1231	poly		55.79944195946098	-4.623732099907587
poly	poly1231	poly		55.79943585132613	-4.623684221094503
poly	poly1246	poly		55.79980949333689	-4.623673339550876
poly	poly1246	poly		55.79988814954295	-4.623631143946066
poly	poly1246	poly		55.7999056661438	-4.623736567962493
poly	poly1246	poly		55.79982914321234	-4.623780720136789
poly	poly1246	poly		55.79980949333689	-4.623673339550876
poly	poly1261	poly		55.79998631392084	-4.623614076315288
poly	poly1261	poly		55.80008426310297	-4.623576124268542
poly	poly1261	poly		55.80009637346678	-4.623687159424922
poly	poly1261	poly		55.80000269091469	-4.623729024628696
poly	poly1261	poly		55.79998631392084	-4.623614076315288
poly	poly1276	poly		55.80012067678356	-4.623433689351812
poly	poly1276	poly		55.80020167858472	-4.623362897349281
poly	poly1276	poly		55.80022885520934	-4.623468534513777
poly	poly1276	poly		55.80014570674341	-4.623539279139235
poly	poly1276	poly		55.80012067678356	-4.623433689351812
poly	poly1291	poly		55.79918832026039	-4.623776391592386
poly	poly1291	poly		55.79929267754572	-4.623706820596403
poly	poly1291	poly		55.79931584785609	-4.623812929269491
poly	poly1291	poly		55.79921312882894	-4.623884002755327
poly	poly1291	poly		55.79918832026039	-4.623776391592386
poly	poly1306	poly		55.79884175301687	-4.624029563009278
poly	poly1306	poly		55.79912059117064	-4.623837166634845
poly	poly1306	poly		55.79914166702619	-4.623930746219187
poly	poly1306	poly		55.79886869198548	-4.624132055544946
poly	poly1306	poly		55.79884175301687	-4.624029563009278
poly	poly1321	poly		55.79706723244102	-4.625120622523743
poly	poly1321	poly		55.79715750589077	-4.624434936644807
poly	poly1321	poly		55.79732546548254	-4.624435096770659
poly	poly1321	poly		55.79742036382576	-4.624432199221609
poly	poly1321	poly		55.79741446621004	-4.624494940852869
poly	poly1321	poly		55.79725994223467	-4.624497781274377
poly	poly1321	poly		55.79723138954365	-4.624496260020864
poly	poly1321	poly		55.79722381328256	-4.624556011694633
poly	poly1321	poly		55.79719442399298	-4.624544031794921
poly	poly1321	poly		55.79711949940572	-4.625143041415146
poly	poly1321	poly		55.79706723244102	-4.625120622523743
poly	poly1336	poly		55.79750199075049	-4.622994984983379
poly	poly1336	poly		55.79764759901482	-4.622479646822883
poly	poly1336	poly		55.79772215381967	-4.622202310378494
poly	poly1336	poly		55.79777799642307	-4.622252044624325
poly	poly1336	poly		55.79773605770698	-4.622413481009665
poly	poly1336	poly		55.79780469179236	-4.622494279798225
poly	poly1336	poly		55.79778023012706	-4.622579135008044
poly	poly1336	poly		55.79770926456423	-4.622512825239368
poly	poly1336	poly		55.79756015960179	-4.623046792461796
poly	poly1336	poly		55.79750199075049	-4.622994984983379
poly	poly1351	poly		55.79754618225376	-4.623092323165273
poly	poly1351	poly		55.79742618855511	-4.623553857812474
poly	poly1351	poly		55.79736801930214	-4.623504119731879
poly	poly1351	poly		55.79749383119434	-4.623042591140795
poly	poly1351	poly		55.79754618225376	-4.623092323165273
poly	poly1366	poly		55.79714546324539	-4.623493169163547
