:  Turnbridge Wells	:  ENG, Turnbridge Wells
:  USA, Charleston	:  CNA, Charleston
:  Bombay	:  EIN, Bombay
:  Lime Street Square	:  ENG, LDN, Lime St Sq
:  Harley St	:  ENG, LDN, Harley St
:  WIN, JAM-Han	:  WIN, JAM, HAN
:  Harley St	:  ENG, LDN, Harley St
:  WIN, JAM-Ver	:  WIN, JAM, CLA
:  WIN, JAM-Cla	:  WIN, JAM, VER
:  WIN, JAM-TIE	:  WIN, JAM, TIE
